,data,t_media,dayname,somma_polli,feste,fenomeni,Chievo,Hellas,Inter,Italia,Juventus,Lazio,Milan,Napoli
128,2015-05-29,19,venerdì,17,0,sole,0,0,0,0,0,0,0,0
129,2015-05-30,21,sabato,32,0,sole,0,0,0,0,1,0,1,0
130,2015-05-31,21,domenica,20,0,sole,1,0,1,0,0,1,0,1
131,2015-06-01,22,lunedì,15,0,sole,1,0,1,0,1,0,1,1
132,2015-06-02,24,martedì,24,Festa della Repubblica,sole,0,0,0,0,0,0,0,0
133,2015-06-03,25,mercoledì,17,0,sole,0,0,0,0,0,0,0,0
134,2015-06-04,27,giovedì,24,0,sole,0,0,0,0,0,0,0,0
135,2015-06-05,27,venerdì,22,0,sole,0,0,0,0,0,0,0,0
136,2015-06-06,28,sabato,31,0,sole,0,0,0,0,0,0,0,0
137,2015-06-07,28,domenica,25,0,sole,0,0,0,0,0,0,0,0
138,2015-06-09,24,martedì,25,0,sole,0,0,0,0,0,0,0,0
139,2015-06-10,25,mercoledì,22,0,sole,0,0,0,0,0,0,0,0
140,2015-06-11,25,giovedì,21,0,sole,0,0,0,0,0,0,0,0
141,2015-06-12,25,venerdì,18,0,sole,1,0,0,0,0,0,1,1
142,2015-06-13,25,sabato,20,0,sole,0,0,0,0,0,0,0,0
143,2015-06-14,23,domenica,25,0,sole,0,0,0,0,0,0,0,0
144,2015-06-16,21,martedì,20,0,sole,0,0,0,0,0,0,0,0
145,2015-06-17,21,mercoledì,22,0,sole,0,0,0,0,0,0,0,0
146,2015-06-18,22,giovedì,24,0,sole,0,0,0,0,0,0,0,0
147,2015-06-19,22,venerdì,21,0,sole,0,0,0,0,0,0,0,0
148,2015-06-20,20,sabato,29,0,sole,0,0,0,0,0,0,0,0
149,2015-06-21,21,domenica,24,0,sole,0,0,0,0,0,0,0,0
150,2015-06-23,23,martedì,19,0,sole,0,0,0,0,0,0,0,0
151,2015-06-24,20,mercoledì,20,0,sole,0,0,0,0,0,0,0,0
152,2015-06-25,22,giovedì,23,0,sole,0,0,0,0,0,0,0,0
153,2015-06-26,24,venerdì,30,0,sole,0,0,0,0,0,0,0,0
154,2015-06-27,25,sabato,26,0,sole,0,0,0,0,0,0,0,0
155,2015-06-28,25,domenica,24,0,sole,0,0,0,0,0,0,0,0
156,2015-06-30,25,martedì,19,0,sole,0,0,0,0,0,0,0,0
157,2015-07-01,26,mercoledì,23,0,sole,0,0,0,0,0,0,0,0
158,2015-07-02,27,giovedì,17,0,sole,0,0,0,0,1,0,1,0
159,2015-07-03,27,venerdì,32,0,sole,0,0,0,0,0,0,1,0
160,2015-07-04,27,sabato,23,0,sole,0,0,0,0,0,0,0,0
161,2015-07-05,29,domenica,25,0,sole,0,0,0,0,0,0,0,0
162,2015-07-07,31,martedì,28,0,sole,0,0,0,0,0,0,0,0
163,2015-07-08,29,mercoledì,29,0,sole,0,0,0,0,0,0,0,0
164,2015-07-09,25,giovedì,24,0,sole,0,0,0,0,0,0,0,0
165,2015-07-10,25,venerdì,27,0,sole,0,0,0,0,0,0,0,0
166,2015-07-11,25,sabato,30,0,sole,0,0,0,0,0,0,1,0
167,2015-07-12,27,domenica,29,0,sole,0,0,0,0,0,0,0,0
168,2015-07-14,28,martedì,33,0,sole,0,0,0,0,0,0,0,0
169,2015-07-15,28,mercoledì,22,0,sole,0,0,0,0,0,0,0,0
170,2015-07-16,29,giovedì,29,0,sole,0,0,0,0,0,0,0,0
171,2015-07-17,30,venerdì,19,0,sole,0,0,0,0,0,0,0,0
172,2015-07-18,29,sabato,33,0,sole,0,0,0,0,0,0,0,0
173,2015-07-19,30,domenica,23,0,sole,0,0,0,0,0,0,0,0
174,2015-07-21,30,martedì,21,0,sole,0,0,0,0,0,0,0,0
175,2015-07-22,31,mercoledì,32,0,sole,0,0,0,0,0,0,0,0
176,2015-07-23,29,giovedì,30,0,sole,0,0,0,0,0,0,0,0
177,2015-07-24,29,venerdì,26,0,sole,0,0,0,0,0,0,0,0
178,2015-07-25,28,sabato,31,0,sole,0,0,0,0,0,0,0,0
179,2015-07-26,26,domenica,40,0,sole,0,0,0,0,0,0,0,0
180,2015-07-28,27,martedì,24,0,sole,0,0,0,0,0,0,0,0
181,2015-07-29,26,mercoledì,31,0,sole,0,0,0,0,0,0,0,0
182,2015-07-30,24,giovedì,32,0,sole,0,0,0,0,0,0,0,0
183,2015-07-31,23,venerdì,34,0,sole,0,0,0,0,0,0,0,0
184,2015-08-01,21,sabato,44,0,pioggia ,0,0,0,0,0,0,0,0
185,2015-08-02,22,domenica,34,0,pioggia ,0,0,1,0,0,0,0,1
186,2015-08-04,27,martedì,29,0,sole,0,0,0,0,0,0,0,0
187,2015-08-05,28,mercoledì,27,0,sole,0,0,0,0,0,0,0,0
188,2015-08-06,29,giovedì,29,0,sole,0,0,0,0,0,0,0,0
189,2015-08-07,29,venerdì,26,0,sole,0,0,0,0,0,0,0,0
190,2015-08-08,30,sabato,27,0,sole,0,0,0,0,0,0,0,0
191,2015-08-09,29,domenica,30,0,sole,0,0,0,0,0,0,0,0
192,2015-08-11,26,martedì,27,0,sole,1,0,1,0,1,1,0,1
193,2015-08-12,28,mercoledì,27,0,sole,0,0,0,0,0,0,0,0
194,2015-08-13,28,giovedì,31,0,sole,0,0,0,0,0,0,0,0
195,2015-08-14,27,venerdì,26,0,temporale ,0,0,0,0,0,0,0,0
196,2015-08-15,25,sabato,26,Ferragosto,pioggia ,0,0,0,0,0,0,0,0
197,2015-08-16,21,domenica,29,0,pioggia temporale ,0,0,0,0,0,0,0,0
198,2015-08-18,23,martedì,31,0,temporale ,0,0,0,0,0,0,0,0
199,2015-08-19,19,mercoledì,33,0,pioggia ,0,0,0,0,0,0,0,0
200,2015-08-20,23,giovedì,34,0,sole,0,0,0,0,0,0,0,0
201,2015-08-21,21,venerdì,26,0,pioggia temporale ,0,0,0,0,0,0,0,0
202,2015-08-22,20,sabato,34,0,sole,0,0,0,0,0,1,0,0
203,2015-08-23,21,domenica,38,0,pioggia ,1,0,1,0,1,0,1,1
204,2015-08-25,23,martedì,38,0,pioggia nebbia ,0,0,0,0,0,0,0,0
205,2015-08-26,23,mercoledì,31,0,sole,0,0,0,0,0,0,0,0
206,2015-08-27,24,giovedì,27,0,sole,0,0,0,0,0,0,0,0
207,2015-08-28,25,venerdì,30,0,sole,0,0,0,0,0,0,0,0
208,2015-08-29,26,sabato,41,0,sole,0,0,0,0,0,0,1,0
209,2015-08-30,27,domenica,35,0,sole,1,0,1,0,1,1,0,1
210,2015-09-01,24,martedì,33,0,sole,0,0,0,0,0,0,0,0
211,2015-09-02,23,mercoledì,26,0,sole,0,0,0,0,0,1,0,0
212,2015-09-03,23,giovedì,26,0,sole,0,0,0,0,1,1,0,0
213,2015-09-04,22,venerdì,30,0,sole,0,0,0,0,0,0,0,0
214,2015-09-05,20,sabato,36,0,sole,0,0,0,0,1,0,1,0
215,2015-09-06,18,domenica,31,0,sole,0,0,0,0,0,0,0,0
216,2015-09-08,19,martedì,29,0,sole,0,0,0,0,0,0,0,0
217,2015-09-09,18,mercoledì,30,0,sole,0,0,0,0,0,0,0,0
218,2015-09-10,20,giovedì,36,0,sole,0,0,0,0,0,0,0,0
219,2015-09-11,19,venerdì,33,0,sole,0,0,0,0,0,0,0,0
220,2015-09-12,20,sabato,47,0,sole,0,0,0,0,0,0,0,0
221,2015-09-13,20,domenica,36,0,sole,0,0,1,0,0,1,1,1
222,2015-09-15,21,martedì,34,0,sole,0,0,0,0,0,0,0,0
223,2015-09-16,22,mercoledì,29,0,sole,0,0,0,0,0,0,0,0
224,2015-09-17,23,giovedì,29,0,sole,0,0,0,0,0,0,0,0
225,2015-09-18,23,venerdì,32,0,sole,0,0,0,0,0,0,0,0
226,2015-09-19,20,sabato,42,0,sole,0,0,0,0,0,0,1,0
227,2015-09-20,20,domenica,41,0,sole,1,0,1,0,1,1,0,1
228,2015-09-22,18,martedì,33,0,sole,0,0,0,0,0,0,1,0
229,2015-09-24,15,giovedì,38,0,sole,0,0,0,0,0,0,0,0
230,2015-09-25,17,venerdì,37,0,sole,0,0,0,0,0,0,0,0
231,2015-09-26,18,sabato,46,0,sole,0,0,0,0,1,0,0,1
232,2015-09-27,17,domenica,43,0,sole,1,0,1,0,0,1,1,0
233,2015-09-29,17,martedì,28,0,sole,0,0,0,0,0,0,0,0
234,2015-09-30,15,mercoledì,23,0,sole,0,0,0,0,0,0,0,0
235,2015-10-01,14,giovedì,34,0,pioggia ,0,0,0,0,0,0,1,0
236,2015-10-02,16,venerdì,32,0,pioggia ,0,0,0,0,0,0,0,0
